#jdstart-2463963   jdend-2463963    elevation      azimuth  flag        throw
       9.6250000       9.6666667      50.0000      230.355     1      40.0000
       9.6666667       9.7083333      50.0000      229.000     1      40.0000
       9.7083333       9.7500000      50.0000      237.000     1      40.0000
       9.7500000       9.7916667      50.0000      4.00000     1      40.0000
       9.7916667       9.8333333      50.3333      341.000     1      40.0000
       9.8333333       9.8750000      52.0000      305.000     1      40.0000
       9.8750000       9.9166667      69.6667      192.000     1      40.0000
       9.9166667       9.9583333      50.0000      291.218     0      90.0000
       9.9583333       10.000000      50.0000      286.323     0      90.0000
       10.000000       10.041667      50.0000      282.077     0      90.0000
       10.041667       10.083333      50.0000      278.181     0      90.0000
       10.083333       10.125000      50.0000      274.280     0      90.0000
       10.125000       10.166667      50.0000      269.423     0      90.0000
       10.166667       10.208333      50.0000      245.000     0      90.0000
       10.208333       10.250000      50.0000      93.5647     0      90.0000
       10.250000       10.291667      50.0000      87.3659     0      90.0000
       10.291667       10.333333      50.0000      83.3040     0      90.0000
       10.333333       10.375000      50.0000      79.4613     0      90.0000
       10.375000       10.416667      57.3333      55.0000     1      40.0000
       10.416667       10.458333      70.0000      42.0000     1      40.0000
       10.458333       10.500000      67.7693      189.049     1      40.0000
       10.500000       10.541667      62.7692      211.752     1      40.0000
       10.541667       10.583333      54.1561      223.838     1      40.0000
       10.583333       10.625000      50.0000      229.027     1      40.0000
       10.625000       10.666667      50.0000      230.359     1      40.0000
       10.666667       10.708333      50.0000      231.000     1      40.0000
       10.708333       10.750000      51.0000      59.6838     1      40.0000
       10.750000       10.791667      52.0000      44.4329     1      40.0000
       10.791667       10.833333      56.0000      20.5338     1      40.0000
       10.833333       10.875000      52.6667      349.240     1      40.0000
       10.875000       10.916667      70.0000      192.000     1      40.0000
       10.916667       10.958333      50.0000      291.106     0      90.0000
       10.958333       11.000000      50.0000      286.193     0      90.0000
       11.000000       11.041667      50.0000      281.922     0      90.0000
       11.041667       11.083333      50.0000      277.982     0      90.0000
       11.083333       11.125000      50.0000      273.996     0      90.0000
       11.125000       11.166667      50.0000      268.910     0      90.0000
       11.166667       11.208333      50.0000      245.000     0      90.0000
       11.208333       11.250000      50.0000      94.4405     0      90.0000
       11.250000       11.291667      50.0000      87.7696     0      90.0000
       11.291667       11.333333      50.0000      83.5810     0      90.0000
       11.333333       11.375000      50.0000      79.6842     0      90.0000
       11.375000       11.416667      57.0000      55.0000     1      40.0000
       11.416667       11.458333      69.6667      41.0000     1      40.0000
       11.458333       11.500000      67.6125      190.843     1      40.0000
       11.500000       11.541667      62.2843      212.843     1      40.0000
       11.541667       11.583333      53.5247      224.345     1      40.0000
       11.583333       11.625000      50.0000      229.211     1      40.0000
       11.625000       11.666667      50.0000      230.352     1      40.0000
       11.666667       11.708333      50.0000      230.000     1      40.0000
       11.708333       11.750000      50.0000      58.8756     1      40.0000
       11.750000       11.791667      53.6667      43.1687     1      40.0000
       11.791667       11.833333      60.6667      18.6243     1      40.0000
       11.833333       11.875000      61.0000      347.206     1      40.0000
       11.875000       11.916667      55.0000      320.793     1      40.0000
       11.916667       11.958333      50.0000      290.987     0      90.0000
       11.958333       12.000000      50.0000      286.056     0      90.0000
       12.000000       12.041667      50.0000      281.758     0      90.0000
       12.041667       12.083333      50.0000      277.774     0      90.0000
       12.083333       12.125000      50.0000      273.699     0      90.0000
       12.125000       12.166667      50.0000      268.380     0      90.0000
       12.166667       12.208333      50.0000      245.000     0      90.0000
       12.208333       12.250000      50.0000      95.3594     0      90.0000
       12.250000       12.291667      50.0000      88.1908     0      90.0000
       12.291667       12.333333      50.0000      83.8691     0      90.0000
       12.333333       12.375000      50.0000      79.9154     0      90.0000
       12.375000       12.416667      57.0000      55.0000     1      40.0000
       12.416667       12.458333      50.3333      85.0000     1      40.0000
